motif	num_nodes	erdos_p	num_nodes	mean
12	500	1	0	4
13	500	1	0	248
1	500	1	911	1158
2	500	1	0	0
3	500	1	0	4
4	500	1	0	0
5	500	1	0	0
6	500	1	0	0
7	500	1	0	0
8	500	1	0	0
9	500	1	483	497
10	500	1	0	0
11	500	1	0	0
12	500	1	0	4
13	500	1	0	249
1	500	1	996	1243
2	500	1	0	0
3	500	1	0	4
4	500	1	0	0
5	500	1	0	0
6	500	1	0	0
7	500	1	0	0
8	500	1	0	0
9	500	1	490	497
10	500	1	0	0
11	500	1	0	0
12	500	1	0	4
13	500	1	0	249
1	500	1	1737	1982
2	500	1	0	0
3	500	1	0	7
4	500	1	0	0
5	500	1	0	0
6	500	1	0	0
7	500	1	0	0
8	500	1	0	0
9	500	1	468	497
10	500	1	0	0
11	500	1	0	0
12	500	1	0	7
13	500	1	0	249
1	500	1	2597	2840
2	500	1	0	0
3	500	1	0	11
4	500	1	0	0
5	500	1	0	0
6	500	1	0	0
7	500	1	0	0
8	500	1	0	0
9	500	1	443	497
10	500	1	0	0
11	500	1	0	0
12	500	1	0	11
13	500	1	0	249
1	500	1	2270	2514
2	500	1	0	0
3	500	1	0	10
4	500	1	0	0
5	500	1	0	0
6	500	1	0	0
7	500	1	0	0
8	500	1	0	0
9	500	1	475	497
10	500	1	0	0
11	500	1	0	0
12	500	1	0	10
13	500	1	0	249
1	500	1	2106	2350
2	500	1	0	0
3	500	1	0	9
4	500	1	0	0
5	500	1	0	0
6	500	1	0	0
7	500	1	0	0
8	500	1	0	0
9	500	1	459	497
10	500	1	0	0
11	500	1	0	0
12	500	1	0	9
13	500	1	0	249
1	500	1	102843	102885
2	500	1	0	0
3	500	1	0	412
4	500	1	0	0
5	500	1	0	0
6	500	1	0	170
7	500	1	0	0
8	500	1	0	0
9	500	1	45	497
10	500	1	0	0
11	500	1	0	0
12	500	1	0	411
13	500	1	0	248
1	500	1	103322	103363
2	500	1	0	0
3	500	1	0	414
4	500	1	0	0
5	500	1	0	0
6	500	1	0	172
7	500	1	0	0
8	500	1	0	0
9	500	1	44	497
10	500	1	0	0
11	500	1	0	0
12	500	1	0	413
