motif	num_nodes	erdos_p	occurences	mean
1	1000	0.2	790857	20057495
2	1000	0.2	10432	1348931
1	1000	0.3	3972341	44823522
2	1000	0.3	118336	4495210
1	1000	0.3	4011639	44863489
2	1000	0.3	120094	4501692
1	1000	0.3	4036436	44924243
2	1000	0.3	121648	4511048
1	1000	0.3	4056419	45042079
2	1000	0.3	121562	4529062
1	1000	0.3	4012141	44767726
2	1000	0.3	120048	4488202
1	1000	0.3	4025485	45028416
2	1000	0.3	120580	4526028
1	1000	0.3	4007479	44859088
2	1000	0.3	119721	4501314
1	1000	0.3	4014494	45050509
2	1000	0.3	120464	4530065
1	1000	0.4	12857572	80071032
2	1000	0.4	689702	10722771
1	1000	0.4	12736835	79883057
2	1000	0.4	678271	10684725
1	1000	0.4	12850915	79951389
2	1000	0.4	687509	10696981
1	1000	0.4	12701839	79738989
2	1000	0.4	674852	10655553
1	1000	0.4	12781491	80009922
2	1000	0.4	682104	10706346
1	1000	0.4	12606794	79537428
2	1000	0.4	667642	10615584
1	1000	0.4	12672253	79399667
2	1000	0.4	674078	10586545
1	1000	0.4	12903562	79956215
2	1000	0.4	692604	10697072
1	2000	0.001	0	6031
2	2000	0.001	0	4
1	2000	0.001	0	5756
2	2000	0.001	0	4
1	2000	0.001	0	6155
2	2000	0.001	0	4
1	2000	0.001	0	6143
2	2000	0.001	0	4
1	2000	0.001	0	5911
2	2000	0.001	0	4
1	2000	0.001	0	6114
2	2000	0.001	0	4
1	2000	0.001	0	6294
2	2000	0.001	0	4
1	2000	0.001	0	5899
2	2000	0.001	0	4
1	2000	0.002	0	20086
2	2000	0.002	0	20
1	2000	0.002	0	19318
2	2000	0.002	0	19
1	2000	0.002	0	20283
2	2000	0.002	0	21
1	2000	0.002	0	20005
2	2000	0.002	0	20
1	2000	0.002	0	19921
2	2000	0.002	0	20
1	2000	0.002	0	19496
2	2000	0.002	0	20
1	2000	0.002	0	19312
2	2000	0.002	0	19
1	2000	0.002	0	20051
2	2000	0.002	0	20
1	2000	0.005	0	108183
2	2000	0.005	0	217
1	2000	0.005	0	108762
2	2000	0.005	0	218
1	2000	0.005	1	110280
2	2000	0.005	0	222
1	2000	0.005	3	109615
2	2000	0.005	0	220
1	2000	0.005	0	111900
2	2000	0.005	0	229
1	2000	0.005	5	110306
2	2000	0.005	0	223
1	2000	0.005	3	111236
2	2000	0.005	0	224
1	2000	0.005	3	109094
2	2000	0.005	0	217
1	2000	0.01	36	424579
2	2000	0.01	0	1571
1	2000	0.01	23	415774
2	2000	0.01	0	1519
1	2000	0.01	33	430769
2	2000	0.01	0	1606
1	2000	0.01	49	421517
2	2000	0.01	0	1555
1	2000	0.01	27	420059
2	2000	0.01	0	1540
1	2000	0.01	27	419801
2	2000	0.01	0	1548
1	2000	0.01	49	414599
2	2000	0.01	0	1512
1	2000	0.01	41	420920
2	2000	0.01	0	1545
1	2000	0.02	656	1628685
2	2000	0.02	0	11353
1	2000	0.02	629	1618784
2	2000	0.02	0	11274
1	2000	0.02	570	1637371
2	2000	0.02	0	11455
1	2000	0.02	637	1626776
2	2000	0.02	0	11350
1	2000	0.02	643	1645828
2	2000	0.02	0	11562
1	2000	0.02	624	1639325
2	2000	0.02	0	11488
1	2000	0.02	621	1644143
2	2000	0.02	0	11537
1	2000	0.02	602	1651525
2	2000	0.02	0	11582
1	2000	0.05	25407	10026633
2	2000	0.05	23	169800
1	2000	0.05	25355	10125726
2	2000	0.05	21	172313
1	2000	0.05	24959	9995743
2	2000	0.05	23	169002
1	2000	0.05	24577	10066266
2	2000	0.05	20	170959
1	2000	0.05	26433	10162592
2	2000	0.05	22	173323
1	2000	0.05	24626	10040056
2	2000	0.05	19	170311
1	2000	0.05	25792	10084565
2	2000	0.05	20	171313
1	2000	0.05	25106	10117140
2	2000	0.05	20	172096
1	2000	0.1	400929	40096019
2	2000	0.1	1312	1347925
1	2000	0.1	386468	40015198
2	2000	0.1	1339	1343831
1	2000	0.1	392769	39974706
2	2000	0.1	1354	1341811
1	2000	0.1	402683	40057500
2	2000	0.1	1352	1345831
1	2000	0.1	394233	40205841
2	2000	0.1	1327	1353528
1	2000	0.1	401375	40262860
2	2000	0.1	1319	1357218
1	2000	0.1	406047	40185434
2	2000	0.1	1346	1352511
1	2000	0.1	407494	40475680
2	2000	0.1	1362	1367625
1	2000	0.2	6436453	160753483
2	2000	0.2	86457	10781797
1	2000	0.2	6393667	159983755
2	2000	0.2	85705	10704222
1	2000	0.2	6449985	160562938
2	2000	0.2	86028	10763236
1	2000	0.2	6362673	159581404
2	2000	0.2	84015	10666198
1	2000	0.2	6484171	160523842
2	2000	0.2	86855	10759567
1	2000	0.2	6389790	160083238
2	2000	0.2	85068	10715233
1	2000	0.2	6380965	159883514
2	2000	0.2	84744	10695790
1	2000	0.2	6410248	160132514
2	2000	0.2	85653	10719218
1	2000	0.3	32658436	361198443
2	2000	0.3	985184	36274237
1	2000	0.3	32418539	359774203
2	2000	0.3	973185	36054103
1	2000	0.3	32376753	360163568
2	2000	0.3	971710	36116148
1	2000	0.3	32400956	360022638
2	2000	0.3	974742	36095514
1	2000	0.3	32207246	359426075
2	2000	0.3	964482	36005808
1	2000	0.3	32394442	360446733
2	2000	0.3	974731	36158892
1	2000	0.3	32427839	360266527
2	2000	0.3	971647	36132312
1	2000	0.3	32245180	360425261
2	2000	0.3	967093	36155051
1	2000	0.4	102297161	638615397
2	2000	0.4	5457195	85219713
1	2000	0.4	101530011	638836148
2	2000	0.4	5393625	85259291
1	2000	0.4	102120694	640458252
2	2000	0.4	5447132	85585341
1	2000	0.4	102709626	639631746
2	2000	0.4	5491391	85418768
1	2000	0.4	102737647	640986576
2	2000	0.4	5490815	85691577
1	2000	0.4	102417137	639890790
2	2000	0.4	5469138	85474323
1	2000	0.4	102083519	639154246
2	2000	0.4	5440157	85324883
1	2000	0.4	102209634	640231554
2	2000	0.4	5449888	85539061
1	5000	0.001	0	76548
2	5000	0.001	0	36
1	5000	0.001	0	74842
2	5000	0.001	0	35
1	5000	0.001	0	76338
2	5000	0.001	0	37
1	5000	0.001	0	74652
2	5000	0.001	0	35
1	5000	0.001	0	73901
2	5000	0.001	0	35
1	5000	0.001	1	74869
2	5000	0.001	0	35
1	5000	0.001	0	75811
2	5000	0.001	0	36
1	5000	0.001	0	75419
2	5000	0.001	0	36
1	5000	0.002	2	271206
2	5000	0.002	0	217
1	5000	0.002	0	277553
2	5000	0.002	0	225
1	5000	0.002	2	278546
2	5000	0.002	0	226
1	5000	0.002	1	273656
2	5000	0.002	0	219
1	5000	0.002	0	273786
2	5000	0.002	0	219
1	5000	0.002	2	272213
2	5000	0.002	0	217
1	5000	0.002	0	275057
2	5000	0.002	0	221
1	5000	0.002	3	274615
2	5000	0.002	0	221
1	5000	0.005	53	1611713
2	5000	0.005	0	2890
1	5000	0.005	39	1623386
2	5000	0.005	0	2927
1	5000	0.005	33	1627073
2	5000	0.005	0	2932
1	5000	0.005	59	1625995
2	5000	0.005	0	2931
1	5000	0.005	45	1622303
2	5000	0.005	0	2925
1	5000	0.005	36	1621313
2	5000	0.005	0	2918
1	5000	0.005	29	1613668
2	5000	0.005	0	2898
1	5000	0.005	41	1630636
2	5000	0.005	0	2942
1	5000	0.01	600	6390302
2	5000	0.01	0	22208
1	5000	0.01	613	6377048
2	5000	0.01	0	22100
1	5000	0.01	693	6366575
2	5000	0.01	0	22083
1	5000	0.01	662	6328344
2	5000	0.01	0	21860
1	5000	0.01	590	6371583
2	5000	0.01	0	22110
1	5000	0.01	636	6392678
2	5000	0.01	0	22199
1	5000	0.01	597	6355828
2	5000	0.01	0	22024
1	5000	0.01	580	6348538
2	5000	0.01	0	21980
1	5000	0.02	9826	25277774
2	5000	0.02	0	171898
1	5000	0.02	10075	25233708
2	5000	0.02	1	171600
1	5000	0.02	9258	25250708
2	5000	0.02	0	171658
1	5000	0.02	10023	25269750
2	5000	0.02	2	171885
1	5000	0.02	9767	25120851
2	5000	0.02	0	170414
1	5000	0.02	9867	25244149
2	5000	0.02	3	171645
1	5000	0.02	9950	25185775
2	5000	0.02	2	171050
1	5000	0.02	10292	25245937
2	5000	0.02	0	171670
1	5000	0.05	390973	156661301
2	5000	0.05	318	2629484
1	5000	0.05	388263	156277645
2	5000	0.05	344	2621066
1	5000	0.05	388720	157142549
2	5000	0.05	326	2642133
1	5000	0.05	392949	156497572
2	5000	0.05	325	2626087
1	5000	0.05	399674	157550222
2	5000	0.05	351	2652486
1	5000	0.05	395233	156597691
2	5000	0.05	330	2628616
1	5000	0.05	389123	156628113
2	5000	0.05	314	2629385
1	5000	0.05	398607	157197664
2	5000	0.05	314	2643906
1	5000	0.1	6247909	624551496
2	5000	0.1	20907	20874829
1	5000	0.1	6241688	625767346
2	5000	0.1	20722	20932937
1	5000	0.1	6206337	624811073
2	5000	0.1	20634	20887264
1	5000	0.1	6266965	626025458
2	5000	0.1	21003	20948213
1	5000	0.1	6263013	625761176
2	5000	0.1	20557	20932569
1	5000	0.1	6268423	625938661
2	5000	0.1	20764	20940883
1	5000	0.1	6266983	625685130
2	5000	0.1	21048	20930213
1	5000	0.1	6194065	625240588
2	5000	0.1	20927	20907885
1	5000	0.2	100371647	2147483647
2	5000	0.2	1341854	167115286
1	5000	0.2	99956161	2147483647
2	5000	0.2	1333784	166987368
1	5000	0.2	100353761	2147483647
2	5000	0.2	1340157	167269020
1	5000	0.2	99879710	2147483647
2	5000	0.2	1332552	166944394
1	5000	0.2	99348688	2147483647
2	5000	0.2	1320525	166543221
1	5000	0.2	99917655	2147483647
2	5000	0.2	1332406	166758854
1	5000	0.2	100161384	2147483647
2	5000	0.2	1337519	167053935
1	5000	0.2	99825247	2147483647
2	5000	0.2	1330625	166791608
1	10000	0.001	0	547339
2	10000	0.001	0	219
1	10000	0.001	1	548552
